title,authors,paper_link,supplementary_link,arxiv_link
From Variance to Veracity: Unbundling and Mitigating Gradient Variance in Differentiable Bundle Adjustment Layers,"Swaminathan Gurumurthy,



Karnik Ram,



Bingqing Chen,



Zachary Manchester,



Zico Kolter",,,
Denoising Point Clouds in Latent Space via Graph Convolution and Invertible Neural Network,"Aihua Mao,



Biao Yan,



Zijing Ma,



Ying He",,,
ADA-Track: End-to-End Multi-Camera 3D Multi-Object Tracking with Alternating Detection and Association,"Shuxiao Ding,



Lukas Schneider,



Marius Cordts,



Juergen Gall",,,
HIR-Diff: Unsupervised Hyperspectral Image Restoration Via Improved Diffusion Models,"Li Pang,



Xiangyu Rui,



Long Cui,



Hongzhong Wang,



Deyu Meng,



Xiangyong Cao",,,
Mind The Edge: Refining Depth Edges in Sparsely-Supervised Monocular Depth Estimation,"Lior Talker,



Aviad Cohen,



Erez Yosef,



Alexandra Dana,



Michael Dinerstein",,,
Attention-Driven Training-Free Efficiency Enhancement of Diffusion Models,"Hongjie Wang,



Difan Liu,



Yan Kang,



Yijun Li,



Zhe Lin,



Niraj K. Jha,



Yuchen Liu",,,
CPR: Retrieval Augmented Generation for Copyright Protection,"Aditya Golatkar,



Alessandro Achille,



Luca Zancato,



Yu-Xiang Wang,



Ashwin Swaminathan,



Stefano Soatto",,,
FreeDrag: Feature Dragging for Reliable Point-based Image Editing,"Pengyang Ling,



Lin Chen,



Pan Zhang,



Huaian Chen,



Yi Jin,



Jinjin Zheng",,,
Image-Text Co-Decomposition for Text-Supervised Semantic Segmentation,"Ji-Jia Wu,



Andy Chia-Hao Chang,



Chieh-Yu Chuang,



Chun-Pei Chen,



Yu-Lun Liu,



Min-Hung Chen,



Hou-Ning Hu,



Yung-Yu Chuang,



Yen-Yu Lin",,,
Orchestrate Latent Expertise: Advancing Online Continual Learning with Multi-Level Supervision and Reverse Self-Distillation,"Hongwei Yan,



Liyuan Wang,



Kaisheng Ma,



Yi Zhong",,,
Vision-and-Language Navigation via Causal Learning,"Liuyi Wang,



Zongtao He,



Ronghao Dang,



Mengjiao Shen,



Chengju Liu,



Qijun Chen",,,
Mitigating Object Dependencies: Improving Point Cloud Self-Supervised Learning through Object Exchange,"Yanhao Wu,



Tong Zhang,



Wei Ke,



Congpei Qiu,



Sabine Süsstrunk,



Mathieu Salzmann",,,
Confronting Ambiguity in 6D Object Pose Estimation via Score-Based Diffusion on SE(3),"Tsu-Ching Hsiao,



Hao-Wei Chen,



Hsuan-Kung Yang,



Chun-Yi Lee",,,
Visual Anagrams: Generating Multi-View Optical Illusions with Diffusion Models,"Daniel Geng,



Inbum Park,



Andrew Owens",,,
Unveiling Parts Beyond Objects: Towards Finer-Granularity Referring Expression Segmentation,"Wenxuan Wang,



Tongtian Yue,



Yisi Zhang,



Longteng Guo,



Xingjian He,



Xinlong Wang,



Jing Liu",,,
DiffInDScene: Diffusion-based High-Quality 3D Indoor Scene Generation,"Xiaoliang Ju,



Zhaoyang Huang,



Yijin Li,



Guofeng Zhang,



Yu Qiao,



Hongsheng Li",,,
MAPSeg: Unified Unsupervised Domain Adaptation for Heterogeneous Medical Image Segmentation Based on 3D Masked Autoencoding and Pseudo-Labeling,"Xuzhe Zhang,



Yuhao Wu,



Elsa Angelini,



Ang Li,



Jia Guo,



Jerod M. Rasmussen,



Thomas G. O'Connor,



Pathik D. Wadhwa,



Andrea Parolin Jackowski,



Hai Li,



Jonathan Posner,



Andrew F. Laine,



Yun Wang",,,
Leveraging Predicate and Triplet Learning for Scene Graph Generation,"Jiankai Li,



Yunhong Wang,



Xiefan Guo,



Ruijie Yang,



Weixin Li",,,
DaReNeRF: Direction-aware Representation for Dynamic Scenes,"Ange Lou,



Benjamin Planche,



Zhongpai Gao,



Yamin Li,



Tianyu Luan,



Hao Ding,



Terrence Chen,



Jack Noble,



Ziyan Wu",,,
SfmCAD: Unsupervised CAD Reconstruction by Learning Sketch-based Feature Modeling Operations,"Pu Li,



Jianwei Guo,



Huibin Li,



Bedrich Benes,



Dong-Ming Yan",,,
CoDi-2: In-Context Interleaved and Interactive Any-to-Any Generation,"Zineng Tang,



Ziyi Yang,



Mahmoud Khademi,



Yang Liu,



Chenguang Zhu,



Mohit Bansal",,,
Tuning Stable Rank Shrinkage: Aiming at the Overlooked Structural Risk in Fine-tuning,"Sicong Shen,



Yang Zhou,



Bingzheng Wei,



Eric I-Chao Chang,



Yan Xu",,,
Differentiable Display Photometric Stereo,"Seokjun Choi,



Seungwoo Yoon,



Giljoo Nam,



Seungyong Lee,



Seung-Hwan Baek",,,
In-distribution Public Data Synthesis with Diffusion Models for Differentially Private Image Classification,"Jinseong Park,



Yujin Choi,



Jaewook Lee",,,
Learning Degradation-unaware Representation with Prior-based Latent Transformations for Blind Face Restoration,"Lianxin Xie,



Csbingbing Zheng,



Wen Xue,



Le Jiang,



Cheng Liu,



Si Wu,



Hau San Wong",,,
LSK3DNet: Towards Effective and Efficient 3D Perception with Large Sparse Kernels,"Tuo Feng,



Wenguan Wang,



Fan Ma,



Yi Yang",,,
Faces that Speak: Jointly Synthesising Talking Face and Speech from Text,"Youngjoon Jang,



Ji-Hoon Kim,



Junseok Ahn,



Doyeop Kwak,



Hong-Sun Yang,



Yoon-Cheol Ju,



Il-Hwan Kim,



Byeong-Yeol Kim,



Joon Son Chung",,,
Diversified and Personalized Multi-rater Medical Image Segmentation,"Yicheng Wu,



Xiangde Luo,



Zhe Xu,



Xiaoqing Guo,



Lie Ju,



Zongyuan Ge,



Wenjun Liao,



Jianfei Cai",,,
Towards Automatic Power Battery Detection: New Challenge Benchmark Dataset and Baseline,"Xiaoqi Zhao,



Youwei Pang,



Zhenyu Chen,



Qian Yu,



Lihe Zhang,



Hanqi Liu,



Jiaming Zuo,



Huchuan Lu",,,
AVFF: Audio-Visual Feature Fusion for Video Deepfake Detection,"Trevine Oorloff,



Surya Koppisetti,



Nicolò Bonettini,



Divyaraj Solanki,



Ben Colman,



Yaser Yacoob,



Ali Shahriyari,



Gaurav Bharaj",,,
Discover and Mitigate Multiple Biased Subgroups in Image Classifiers,"Zeliang Zhang,



Mingqian Feng,



Zhiheng Li,



Chenliang Xu",,,
DiffusionRegPose: Enhancing Multi-Person Pose Estimation using a Diffusion-Based End-to-End Regression Approach,"Dayi Tan,



Hansheng Chen,



Wei Tian,



Lu Xiong",,,
Memory-Scalable and Simplified Functional Map Learning,"Robin Magnet,



Maks Ovsjanikov",,,
X-MIC: Cross-Modal Instance Conditioning for Egocentric Action Generalization,"Anna Kukleva,



Fadime Sener,



Edoardo Remelli,



Bugra Tekin,



Eric Sauser,



Bernt Schiele,



Shugao Ma",,,
ExMap: Leveraging Explainability Heatmaps for Unsupervised Group Robustness to Spurious Correlations,"Rwiddhi Chakraborty,



Adrian Sletten,



Michael C. Kampffmeyer",,,
Gaussian Head Avatar: Ultra High-fidelity Head Avatar via Dynamic Gaussians,"Yuelang Xu,



Benwang Chen,



Zhe Li,



Hongwen Zhang,



Lizhen Wang,



Zerong Zheng,



Yebin Liu",,,
Stratified Avatar Generation from Sparse Observations,"Han Feng,



Wenchao Ma,



Quankai Gao,



Xianwei Zheng,



Nan Xue,



Huijuan Xu",,,
Learning to Segment Referred Objects from Narrated Egocentric Videos,"Yuhan Shen,



Huiyu Wang,



Xitong Yang,



Matt Feiszli,



Ehsan Elhamifar,



Lorenzo Torresani,



Effrosyni Mavroudi",,,
Rewrite the Stars,"Xu Ma,



Xiyang Dai,



Yue Bai,



Yizhou Wang,



Yun Fu",,,
Adapting Visual-Language Models for Generalizable Anomaly Detection in Medical Images,"Chaoqin Huang,



Aofan Jiang,



Jinghao Feng,



Ya Zhang,



Xinchao Wang,



Yanfeng Wang",,,
AV-RIR: Audio-Visual Room Impulse Response Estimation,"Anton Ratnarajah,



Sreyan Ghosh,



Sonal Kumar,



Purva Chiniya,



Dinesh Manocha",,,
Depth-aware Test-Time Training for Zero-shot Video Object Segmentation,"Weihuang Liu,



Xi Shen,



Haolun Li,



Xiuli Bi,



Bo Liu,



Chi-Man Pun,



Xiaodong Cun",,,
Dual-Consistency Model Inversion for Non-Exemplar Class Incremental Learning,"Zihuan Qiu,



Yi Xu,



Fanman Meng,



Hongliang Li,



Linfeng Xu,



Qingbo Wu",,,
RMem: Restricted Memory Banks Improve Video Object Segmentation,"Junbao Zhou,



Ziqi Pang,



Yu-Xiong Wang",,,
Not All Prompts Are Secure: A Switchable Backdoor Attack Against Pre-trained Vision Transfomers,"Sheng Yang,



Jiawang Bai,



Kuofeng Gao,



Yong Yang,



Yiming Li,



Shu-Tao Xia",,,
PairDETR : Joint Detection and Association of Human Bodies and Faces,"Ammar Ali,



Georgii Gaikov,



Denis Rybalchenko,



Alexander Chigorin,



Ivan Laptev,



Sergey Zagoruyko",,,
PortraitBooth: A Versatile Portrait Model for Fast Identity-preserved Personalization,"Xu Peng,



Junwei Zhu,



Boyuan Jiang,



Ying Tai,



Donghao Luo,



Jiangning Zhang,



Wei Lin,



Taisong Jin,



Chengjie Wang,



Rongrong Ji",,,
Learn from View Correlation: An Anchor Enhancement Strategy for Multi-view Clustering,"Suyuan Liu,



Ke Liang,



Zhibin Dong,



Siwei Wang,



Xihong Yang,



Sihang Zhou,



En Zhu,



Xinwang Liu",,,
SportsSloMo: A New Benchmark and Baselines for Human-centric Video Frame Interpolation,"Jiaben Chen,



Huaizu Jiang",,,
APSeg: Auto-Prompt Network for Cross-Domain Few-Shot Semantic Segmentation,"Weizhao He,



Yang Zhang,



Wei Zhuo,



Linlin Shen,



Jiaqi Yang,



Songhe Deng,



Liang Sun",,,
Text2HOI: Text-guided 3D Motion Generation for Hand-Object Interaction,"Junuk Cha,



Jihyeon Kim,



Jae Shin Yoon,



Seungryul Baek",,,
Zero-TPrune: Zero-Shot Token Pruning through Leveraging of the Attention Graph in Pre-Trained Transformers,"Hongjie Wang,



Bhishma Dedhia,



Niraj K. Jha",,,
Enhancing Visual Continual Learning with Language-Guided Supervision,"Bolin Ni,



Hongbo Zhao,



Chenghao Zhang,



Ke Hu,



Gaofeng Meng,



Zhaoxiang Zhang,



Shiming Xiang",,,
MACE: Mass Concept Erasure in Diffusion Models,"Shilin Lu,



Zilan Wang,



Leyang Li,



Yanzhu Liu,



Adams Wai-Kin Kong",,,
DIBS: Enhancing Dense Video Captioning with Unlabeled Videos via Pseudo Boundary Enrichment and Online Refinement,"Hao Wu,



Huabin Liu,



Yu Qiao,



Xiao Sun",,,
PeLK: Parameter-efficient Large Kernel ConvNets with Peripheral Convolution,"Honghao Chen,



Xiangxiang Chu,



Yongjian Ren,



Xin Zhao,



Kaiqi Huang",,,
AiOS: All-in-One-Stage Expressive Human Pose and Shape Estimation,"Qingping Sun,



Yanjun Wang,



Ailing Zeng,



Wanqi Yin,



Chen Wei,



Wenjia Wang,



Haiyi Mei,



Chi-Sing Leung,



Ziwei Liu,



Lei Yang,



Zhongang Cai",,,
SOK-Bench: A Situated Video Reasoning Benchmark with Aligned Open-World Knowledge,"Andong Wang,



Bo Wu,



Sunli Chen,



Zhenfang Chen,



Haotian Guan,



Wei-Ning Lee,



Li Erran Li,



Chuang Gan",,,
LORS: Low-rank Residual Structure for Parameter-Efficient Network Stacking,"Jialin Li,



Qiang Nie,



Weifu Fu,



Yuhuan Lin,



Guangpin Tao,



Yong Liu,



Chengjie Wang",,,
Design2Cloth: 3D Cloth Generation from 2D Masks,"Jiali Zheng,



Rolandos Alexandros Potamias,



Stefanos Zafeiriou",,,
Multi-modal In-Context Learning Makes an Ego-evolving Scene Text Recognizer,"Zhen Zhao,



Jingqun Tang,



Chunhui Lin,



Binghong Wu,



Can Huang,



Hao Liu,



Xin Tan,



Zhizhong Zhang,



Yuan Xie",,,
Amodal Completion via Progressive Mixed Context Diffusion,"Katherine Xu,



Lingzhi Zhang,



Jianbo Shi",,,
Training Diffusion Models Towards Diverse Image Generation with Reinforcement Learning,"Zichen Miao,



Jiang Wang,



Ze Wang,



Zhengyuan Yang,



Lijuan Wang,



Qiang Qiu,



Zicheng Liu",,,
Diffusion 3D Features (Diff3F): Decorating Untextured Shapes with Distilled Semantic Features,"Niladri Shekhar Dutt,



Sanjeev Muralikrishnan,



Niloy J. Mitra",,,
LASIL: Learner-Aware Supervised Imitation Learning For Long-term Microscopic Traffic Simulation,"Ke Guo,



Zhenwei Miao,



Wei Jing,



Weiwei Liu,



Weizi Li,



Dayang Hao,



Jia Pan",,,
Revamping Federated Learning Security from a Defender's Perspective: A Unified Defense with Homomorphic Encrypted Data Space,"K Naveen Kumar,



Reshmi Mitra,



C Krishna Mohan",,,
A Dynamic Kernel Prior Model for Unsupervised Blind Image Super-Resolution,"Zhixiong Yang,



Jingyuan Xia,



Shengxi Li,



Xinghua Huang,



Shuanghui Zhang,



Zhen Liu,



Yaowen Fu,



Yongxiang Liu",,,
Cinematic Behavior Transfer via NeRF-based Differentiable Filming,"Xuekun Jiang,



Anyi Rao,



Jingbo Wang,



Dahua Lin,



Bo Dai",,,
SeaBird: Segmentation in Bird's View with Dice Loss Improves Monocular 3D Detection of Large Objects,"Abhinav Kumar,



Yuliang Guo,



Xinyu Huang,



Liu Ren,



Xiaoming Liu",,,
Text-Driven Image Editing via Learnable Regions,"Yuanze Lin,



Yi-Wen Chen,



Yi-Hsuan Tsai,



Lu Jiang,



Ming-Hsuan Yang",,,
Relation Rectification in Diffusion Model,"Yinwei Wu,



Xingyi Yang,



Xinchao Wang",,,
NOPE: Novel Object Pose Estimation from a Single Image,"Van Nguyen Nguyen,



Thibault Groueix,



Georgy Ponimatkin,



Yinlin Hu,



Renaud Marlet,



Mathieu Salzmann,



Vincent Lepetit",,,
Mocap Everyone Everywhere: Lightweight Motion Capture With Smartwatches and a Head-Mounted Camera,"Jiye Lee,



Hanbyul Joo",,,
Fast ODE-based Sampling for Diffusion Models in Around 5 Steps,"Zhenyu Zhou,



Defang Chen,



Can Wang,



Chun Chen",,,
Dual-View Visual Contextualization for Web Navigation,"Jihyung Kil,



Chan Hee Song,



Boyuan Zheng,



Xiang Deng,



Yu Su,



Wei-Lun Chao",,,
Language-driven Grasp Detection,"An Dinh Vuong,



Minh Nhat Vu,



Baoru Huang,



Nghia Nguyen,



Hieu Le,



Thieu Vo,



Anh Nguyen",,,
Towards Modern Image Manipulation Localization: A Large-Scale Dataset and Novel Methods,"Chenfan Qu,



Yiwu Zhong,



Chongyu Liu,



Guitao Xu,



Dezhi Peng,



Fengjun Guo,



Lianwen Jin",,,
Mitigating Noisy Correspondence by Geometrical Structure Consistency Learning,"Zihua Zhao,



Mengxi Chen,



Tianjie Dai,



Jiangchao Yao,



Bo Han,



Ya Zhang,



Yanfeng Wang",,,
CLiC: Concept Learning in Context,"Mehdi Safaee,



Aryan Mikaeili,



Or Patashnik,



Daniel Cohen-Or,



Ali Mahdavi-Amiri",,,
CAD-SIGNet: CAD Language Inference from Point Clouds using Layer-wise Sketch Instance Guided Attention,"Mohammad Sadil Khan,



Elona Dupont,



Sk Aziz Ali,



Kseniya Cherenkova,



Anis Kacem,



Djamila Aouada",,,
Object Recognition as Next Token Prediction,"Kaiyu Yue,



Bor-Chun Chen,



Jonas Geiping,



Hengduo Li,



Tom Goldstein,



Ser-Nam Lim",,,
CLIB-FIQA: Face Image Quality Assessment with Confidence Calibration,"Fu-Zhao Ou,



Chongyi Li,



Shiqi Wang,



Sam Kwong",,,
DVMNet: Computing Relative Pose for Unseen Objects Beyond Hypotheses,"Chen Zhao,



Tong Zhang,



Zheng Dang,



Mathieu Salzmann",,,
Transcriptomics-guided Slide Representation Learning in Computational Pathology,"Guillaume Jaume,



Lukas Oldenburg,



Anurag Vaidya,



Richard J. Chen,



Drew F.K. Williamson,



Thomas Peeters,



Andrew H. Song,



Faisal Mahmood",,,
Predicated Diffusion: Predicate Logic-Based Attention Guidance for Text-to-Image Diffusion Models,"Kota Sueyoshi,



Takashi Matsubara",,,
MuRF: Multi-Baseline Radiance Fields,"Haofei Xu,



Anpei Chen,



Yuedong Chen,



Christos Sakaridis,



Yulun Zhang,



Marc Pollefeys,



Andreas Geiger,



Fisher Yu",,,
CLIP-BEVFormer: Enhancing Multi-View Image-Based BEV Detector with Ground Truth Flow,"Chenbin Pan,



Burhaneddin Yaman,



Senem Velipasalar,



Liu Ren",,,
CLOVA: A Closed-LOop Visual Assistant with Tool Usage and Update,"Zhi Gao,



Yuntao Du,



Xintong Zhang,



Xiaojian Ma,



Wenjuan Han,



Song-Chun Zhu,



Qing Li",,,
Depth Prompting for Sensor-Agnostic Depth Estimation,"Jin-Hwi Park,



Chanhwi Jeong,



Junoh Lee,



Hae-Gon Jeon",,,
G3DR: Generative 3D Reconstruction in ImageNet,"Pradyumna Reddy,



Ismail Elezi,



Jiankang Deng",,,
MoML: Online Meta Adaptation for 3D Human Motion Prediction,"Xiaoning Sun,



Huaijiang Sun,



Bin Li,



Dong Wei,



Weiqing Li,



Jianfeng Lu",,,
CAT-DM: Controllable Accelerated Virtual Try-on with Diffusion Model,"Jianhao Zeng,



Dan Song,



Weizhi Nie,



Hongshuo Tian,



Tongtong Wang,



An-An Liu",,,
Hyperspherical Classification with Dynamic Label-to-Prototype Assignment,"Mohammad Saeed Ebrahimi Saadabadi,



Ali Dabouei,



Sahar Rahimi Malakshan,



Nasser M. Nasrabadi",,,
VTimeLLM: Empower LLM to Grasp Video Moments,"Bin Huang,



Xin Wang,



Hong Chen,



Zihan Song,



Wenwu Zhu",,,
FLHetBench: Benchmarking Device and State Heterogeneity in Federated Learning,"Junyuan Zhang,



Shuang Zeng,



Miao Zhang,



Runxi Wang,



Feifei Wang,



Yuyin Zhou,



Paul Pu Liang,



Liangqiong Qu",,,
Flattening the Parent Bias: Hierarchical Semantic Segmentation in the Poincare Ball,"Simon Weber,



Bar?? Zöngür,



Nikita Araslanov,



Daniel Cremers",,,
Privacy-Preserving Optics for Enhancing Protection in Face De-Identification,"Jhon Lopez,



Carlos Hinojosa,



Henry Arguello,



Bernard Ghanem",,,
SmartRefine: A Scenario-Adaptive Refinement Framework for Efficient Motion Prediction,"Yang Zhou,



Hao Shao,



Letian Wang,



Steven L. Waslander,



Hongsheng Li,



Yu Liu",,,
MVBench: A Comprehensive Multi-modal Video Understanding Benchmark,"Kunchang Li,



Yali Wang,



Yinan He,



Yizhuo Li,



Yi Wang,



Yi Liu,



Zun Wang,



Jilan Xu,



Guo Chen,



Ping Luo,



Limin Wang,



Yu Qiao",,,
Multi-Scale Video Anomaly Detection by Multi-Grained Spatio-Temporal Representation Learning,"Menghao Zhang,



Jingyu Wang,



Qi Qi,



Haifeng Sun,



Zirui Zhuang,



Pengfei Ren,



Ruilong Ma,



Jianxin Liao",,,
An Aggregation-Free Federated Learning for Tackling Data Heterogeneity,"Yuan Wang,



Huazhu Fu,



Renuga Kanagavelu,



Qingsong Wei,



Yong Liu,



Rick Siow Mong Goh",,,
Generative Multimodal Models are In-Context Learners,"Quan Sun,



Yufeng Cui,



Xiaosong Zhang,



Fan Zhang,



Qiying Yu,



Yueze Wang,



Yongming Rao,



Jingjing Liu,



Tiejun Huang,



Xinlong Wang",,,
Synergistic Global-space Camera and Human Reconstruction from Videos,"Yizhou Zhao,



Tuanfeng Yang Wang,



Bhiksha Raj,



Min Xu,



Jimei Yang,



Chun-Hao Paul Huang",,,
Hierarchical Intra-modal Correlation Learning for Label-free 3D Semantic Segmentation,"Xin Kang,



Lei Chu,



Jiahao Li,



Xuejin Chen,



Yan Lu",,,
Feature Re-Embedding: Towards Foundation Model-Level Performance in Computational Pathology,"Wenhao Tang,



Fengtao Zhou,



Sheng Huang,



Xiang Zhu,



Yi Zhang,



Bo Liu",,,
DiffSal: Joint Audio and Video Learning for Diffusion Saliency Prediction,"Junwen Xiong,



Peng Zhang,



Tao You,



Chuanyue Li,



Wei Huang,



Yufei Zha",,,
Revisiting Single Image Reflection Removal In the Wild,"Yurui Zhu,



Xueyang Fu,



Peng-Tao Jiang,



Hao Zhang,



Qibin Sun,



Jinwei Chen,



Zheng-Jun Zha,



Bo Li",,,
3D Face Reconstruction with the Geometric Guidance of Facial Part Segmentation,"Zidu Wang,



Xiangyu Zhu,



Tianshuo Zhang,



Baiqin Wang,



Zhen Lei",,,
FreeU: Free Lunch in Diffusion U-Net,"Chenyang Si,



Ziqi Huang,



Yuming Jiang,



Ziwei Liu",,,
Text Prompt with Normality Guidance for Weakly Supervised Video Anomaly Detection,"Zhiwei Yang,



Jing Liu,



Peng Wu",,,
SparseOcc: Rethinking Sparse Latent Representation for Vision-Based Semantic Occupancy Prediction,"Pin Tang,



Zhongdao Wang,



Guoqing Wang,



Jilai Zheng,



Xiangxuan Ren,



Bailan Feng,



Chao Ma",,,
SinSR: Diffusion-Based Image Super-Resolution in a Single Step,"Yufei Wang,



Wenhan Yang,



Xinyuan Chen,



Yaohui Wang,



Lanqing Guo,



Lap-Pui Chau,



Ziwei Liu,



Yu Qiao,



Alex C. Kot,



Bihan Wen",,,
Frequency Decoupling for Motion Magnification via Multi-Level Isomorphic Architecture,"Fei Wang,



Dan Guo,



Kun Li,



Zhun Zhong,



Meng Wang",,,
Systematic Comparison of Semi-supervised and Self-supervised Learning for Medical Image Classification,"Zhe Huang,



Ruijie Jiang,



Shuchin Aeron,



Michael C. Hughes",,,
ViewDiff: 3D-Consistent Image Generation with Text-to-Image Models,"Lukas Höllein,



Aljaž Boži?,



Norman Müller,



David Novotny,



Hung-Yu Tseng,



Christian Richardt,



Michael Zollhöfer,



Matthias Nießner",,,
Hyperbolic Learning with Synthetic Captions for Open-World Detection,"Fanjie Kong,



Yanbei Chen,



Jiarui Cai,



Davide Modolo",,,
Diffusion Models Without Attention,"Jing Nathan Yan,



Jiatao Gu,



Alexander M. Rush",,,
Interpretable Measures of Conceptual Similarity by Complexity-Constrained Descriptive Auto-Encoding,"Alessandro Achille,



Greg Ver Steeg,



Tian Yu Liu,



Matthew Trager,



Carson Klingenberg,



Stefano Soatto",,,
Emotional Speech-driven 3D Body Animation via Disentangled Latent Diffusion,"Kiran Chhatre,



Radek Dan??ek,



Nikos Athanasiou,



Giorgio Becherini,



Christopher Peters,



Michael J. Black,



Timo Bolkart",,,
3D Feature Tracking via Event Camera,"Siqi Li,



Zhikuan Zhou,



Zhou Xue,



Yipeng Li,



Shaoyi Du,



Yue Gao",,,
Retrieval-Augmented Layout Transformer for Content-Aware Layout Generation,"Daichi Horita,



Naoto Inoue,



Kotaro Kikuchi,



Kota Yamaguchi,



Kiyoharu Aizawa",,,
MSU-4S - The Michigan State University Four Seasons Dataset,"Daniel Kent,



Mohammed Alyaqoub,



Xiaohu Lu,



Hamed Khatounabadi,



Kookjin Sung,



Cole Scheller,



Alexander Dalat,



Asma bin Thabit,



Roberto Whitley,



Hayder Radha",,,
Improving Plasticity in Online Continual Learning via Collaborative Learning,"Maorong Wang,



Nicolas Michel,



Ling Xiao,



Toshihiko Yamasaki",,,
InstantBooth: Personalized Text-to-Image Generation without Test-Time Finetuning,"Jing Shi,



Wei Xiong,



Zhe Lin,



Hyun Joon Jung",,,
MaxQ: Multi-Axis Query for N:M Sparsity Network,"Jingyang Xiang,



Siqi Li,



Junhao Chen,



Zhuangzhi Chen,



Tianxin Huang,



Linpeng Peng,



Yong Liu",,,
Part-aware Unified Representation of Language and Skeleton for Zero-shot Action Recognition,"Anqi Zhu,



Qiuhong Ke,



Mingming Gong,



James Bailey",,,
SD2Event:Self-supervised Learning of Dynamic Detectors and Contextual Descriptors for Event Cameras,"Yuan Gao,



Yuqing Zhu,



Xinjun Li,



Yimin Du,



Tianzhu Zhang",,,
Composing Object Relations and Attributes for Image-Text Matching,"Khoi Pham,



Chuong Huynh,



Ser-Nam Lim,



Abhinav Shrivastava",,,
Previously on ... From Recaps to Story Summarization,"Aditya Kumar Singh,



Dhruv Srivastava,



Makarand Tapaswi",,,
PaReNeRF: Toward Fast Large-scale Dynamic NeRF with Patch-based Reference,"Xiao Tang,



Min Yang,



Penghui Sun,



Hui Li,



Yuchao Dai,



Feng Zhu,



Hojae Lee",,,
mPLUG-Owl2: Revolutionizing Multi-modal Large Language Model with Modality Collaboration,"Qinghao Ye,



Haiyang Xu,



Jiabo Ye,



Ming Yan,



Anwen Hu,



Haowei Liu,



Qi Qian,



Ji Zhang,



Fei Huang",,,
Spectral and Polarization Vision: Spectro-polarimetric Real-world Dataset,"Yujin Jeon,



Eunsue Choi,



Youngchan Kim,



Yunseong Moon,



Khalid Omer,



Felix Heide,



Seung-Hwan Baek",,,
Learning by Correction: Efficient Tuning Task for Zero-Shot Generative Vision-Language Reasoning,"Rongjie Li,



Yu Wu,



Xuming He",,,
Supervised Anomaly Detection for Complex Industrial Images,"Aimira Baitieva,



David Hurych,



Victor Besnier,



Olivier Bernard",,,
Open3DSG: Open-Vocabulary 3D Scene Graphs from Point Clouds with Queryable Objects and Open-Set Relationships,"Sebastian Koch,



Narunas Vaskevicius,



Mirco Colosi,



Pedro Hermosilla,



Timo Ropinski",,,
SURE: SUrvey REcipes for building reliable and robust deep networks,"Yuting Li,



Yingyi Chen,



Xuanlong Yu,



Dexiong Chen,



Xi Shen",,,
PolarRec: Improving Radio Interferometric Data Reconstruction Using Polar Coordinates,"Ruoqi Wang,



Zhuoyang Chen,



Jiayi Zhu,



Qiong Luo,



Feng Wang",,,
Affine Equivariant Networks Based on Differential Invariants,"Yikang Li,



Yeqing Qiu,



Yuxuan Chen,



Lingshen He,



Zhouchen Lin",,,
Selectively Informative Description can Reduce Undesired Embedding Entanglements in Text-to-Image Personalization,"Jimyeong Kim,



Jungwon Park,



Wonjong Rhee",,,
Summarize the Past to Predict the Future: Natural Language Descriptions of Context Boost Multimodal Object Interaction Anticipation,"Razvan-George Pasca,



Alexey Gavryushin,



Muhammad Hamza,



Yen-Ling Kuo,



Kaichun Mo,



Luc Van Gool,



Otmar Hilliges,



Xi Wang",,,
Transfer CLIP for Generalizable Image Denoising,"Jun Cheng,



Dong Liang,



Shan Tan",,,
Smooth Diffusion: Crafting Smooth Latent Spaces in Diffusion Models,"Jiayi Guo,



Xingqian Xu,



Yifan Pu,



Zanlin Ni,



Chaofei Wang,



Manushree Vasu,



Shiji Song,



Gao Huang,



Humphrey Shi",,,
Towards CLIP-driven Language-free 3D Visual Grounding via 2D-3D Relational Enhancement and Consistency,"Yuqi Zhang,



Han Luo,



Yinjie Lei",,,
Optimal Transport Aggregation for Visual Place Recognition,"Sergio Izquierdo,



Javier Civera",,,
FlowIE: Efficient Image Enhancement via Rectified Flow,"Yixuan Zhu,



Wenliang Zhao,



Ao Li,



Yansong Tang,



Jie Zhou,



Jiwen Lu",,,
Aligning and Prompting Everything All at Once for Universal Visual Perception,"Yunhang Shen,



Chaoyou Fu,



Peixian Chen,



Mengdan Zhang,



Ke Li,



Xing Sun,



Yunsheng Wu,



Shaohui Lin,



Rongrong Ji",,,
Correlation-Decoupled Knowledge Distillation for Multimodal Sentiment Analysis with Incomplete Modalities,"Mingcheng Li,



Dingkang Yang,



Xiao Zhao,



Shuaibing Wang,



Yan Wang,



Kun Yang,



Mingyang Sun,



Dongliang Kou,



Ziyun Qian,



Lihua Zhang",,,
Revisiting Adversarial Training at Scale,"Zeyu Wang,



Xianhang Li,



Hongru Zhu,



Cihang Xie",,,
Towards Fairness-Aware Adversarial Learning,"Yanghao Zhang,



Tianle Zhang,



Ronghui Mu,



Xiaowei Huang,



Wenjie Ruan",,,
LoSh: Long-Short Text Joint Prediction Network for Referring Video Object Segmentation,"Linfeng Yuan,



Miaojing Shi,



Zijie Yue,



Qijun Chen",,,
MirageRoom: 3D Scene Segmentation with 2D Pre-trained Models by Mirage Projection,"Haowen Sun,



Yueqi Duan,



Juncheng Yan,



Yifan Liu,



Jiwen Lu",,,
